handle,product_id,position,is_featured,image_url,target_filename
aerosol-alchemists-graffiti-long-sleeve,9259957747939,1,0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/aerosol-alchemists-long-sleeve-for-urban-graffiti-heads-neon-spray-can-creature-aop-190g-heavyweight-cotton-streetwear-festival-art-tee-7189666.png?v=1782724158,aerosol-alchemists-graffiti-long-sleeve-cutout.png
aerosol-alchemists-graffiti-long-sleeve,9259957747939,2,0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/aerosol-alchemists-long-sleeve-for-urban-graffiti-heads-neon-spray-can-creature-aop-190g-heavyweight-cotton-streetwear-festival-art-tee-3210410.png?v=1782724159,aerosol-alchemists-graffiti-long-sleeve-cutout.png
aerosol-alchemists-graffiti-long-sleeve,9259957747939,3,0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/aerosol-alchemists-long-sleeve-for-urban-graffiti-heads-neon-spray-can-creature-aop-190g-heavyweight-cotton-streetwear-festival-art-tee-7470791.png?v=1782724159,aerosol-alchemists-graffiti-long-sleeve-cutout.png
aesthetic-collector-ipad-case-folio,9191713243363,0,1,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/07051de44a6fe76b323f0df307bd42dc.jpg?v=1774456439,aesthetic-collector-ipad-case-folio-cutout.png
aesthetic-collector-ipad-case-folio,9191713243363,1,0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/627c5cf194b958a123fe3a78875a4278.jpg?v=1774456439,aesthetic-collector-ipad-case-folio-cutout.png
aesthetic-collector-ipad-case-folio,9191713243363,2,0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/a776916313d6a04f3a599a2301253ced.jpg?v=1774456439,aesthetic-collector-ipad-case-folio-cutout.png
aesthetic-collector-ipad-case-folio,9191713243363,3,0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/fa042a39d9e3e2d9edb0ec95a2b8cda0.jpg?v=1774456439,aesthetic-collector-ipad-case-folio-cutout.png
aesthetic-collector-ipad-case-folio,9191713243363,4,0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/5cb2e0448dc204293584a8c6543cfa10.jpg?v=1774456439,aesthetic-collector-ipad-case-folio-cutout.png
aesthetic-collector-ipad-case-folio,9191713243363,5,0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/3a3d90447caf5f2d8b509024f7d57e18.jpg?v=1774456439,aesthetic-collector-ipad-case-folio-cutout.png
aesthetic-collector-ipad-case-folio,9191713243363,6,0,https://cdn.shopify.com/s/files/1/0788/2358/8067/files/fc72dfea7be379680a6da3f457f6d505.jpg?v=1774456439,aesthetic-collector-ipad-case-folio-cutout.png
